,MILES,minutes
count,1155.0,1155.0
mean,10.566839826839812,23.243290043290042
std,21.579105610060115,27.318276769689742
min,0.5,0.0
25%,2.9,10.0
50%,6.0,16.000000000000004
75%,10.4,27.5
max,310.3,336.0
